Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Parent Education Level,Gender,Engagement Level,Contact Info,Library Card Number,Grade Level,Age,Country
S00001,12.5,,75.0,Master,Male,1,696-714-1914,LC5826,Grade 11,16,Germany
S00002,9.3,95.3,60.6,High School,Female,1,917-757-1895,LC2486,Grade 10,15,Germany
S00003,13.2,,64.0,Associate,Male,1,153-414-5117,LC4867,Grade 12,17,Germany
S00004,17.6,76.8,62.4,Bachelor,Male,0,902-419-9995,LC7944,Grade 11,16,France
S00005,8.8,89.3,72.7,Master,Male,1,967-163-8176,,Grade 11,16,England
S00006,8.8,73.8,69.3,High School,Male,0,648-694-2127,,Grade 11,16,England
S00007,17.9,38.6,93.6,Doctorate,Male,1,716-529-8991,LC7549,Grade 11,16,France
S00008,13.8,95.8,59.2,Doctorate,Female,1,736-497-7583,LC7458,Grade 11,16,Germany
S00009,7.7,100.1,91.9,Bachelor,Female,5,134-938-8220,LC9373,Grade 11,16,Germany
S00010,12.7,38.4,37.8,High School,Male,0,243-468-4255,LC3985,Grade 12,17,England
S00011,7.7,54.1,72.3,Master,Female,2,845-189-1994,,Grade 10,15,Spain
S00012,7.7,115.5,41.2,Master,Male,0,912-946-6455,LC4900,Grade 11,16,Spain
S00013,11.2,79.6,49.6,Bachelor,Male,1,872-285-8722,LC7952,Grade 10,15,Germany
S00014,0.4,75.1,50.4,,Female,3,667-177-3998,LC7074,Grade 10,15,France
S00015,1.4,66.5,49.2,Associate,Male,1,634-519-6206,,Grade 12,17,France
S00016,7.2,54.4,55.9,High School,Male,0,208-348-8759,,Grade 10,15,England
S00017,4.9,71.1,98.0,High School,Male,0,256-125-5242,LC2725,Grade 12,17,Germany
S00018,11.6,94.5,51.8,Bachelor,Female,1,484-783-9808,LC6363,Grade 10,15,Spain
S00019,5.5,74.7,40.8,Doctorate,Female,1,301-747-7307,LC2813,Grade 10,15,Germany
S00020,2.9,87.2,72.4,Associate,Female,2,724-869-6004,LC2953,Grade 11,16,England
S00021,17.3,110.3,68.6,Bachelor,Female,2,635-920-7687,LC2520,Grade 10,15,France
S00022,8.9,63.4,98.2,Doctorate,Female,0,843-921-2467,LC1421,Grade 12,17,Spain
S00023,10.3,81.1,64.4,High School,Male,0,216-754-5815,LC7240,Grade 10,15,France
S00024,2.9,95.1,30.7,Bachelor,Female,2,908-398-6090,LC3099,Grade 12,17,Spain
S00025,7.3,56.3,58.6,High School,Male,5,361-557-1245,LC5026,Grade 11,16,France
S00026,10.6,,58.3,Doctorate,Male,1,169-984-6293,LC3981,Grade 12,17,Germany
S00027,4.2,112.4,46.5,High School,Male,2,717-996-3751,LC4734,Grade 11,15,France
S00028,11.9,68.2,56.6,High School,Female,4,677-408-8054,LC5278,Grade 11,16,Germany
S00029,7.0,96.4,62.8,Associate,Male,5,563-156-2666,LC7240,Grade 10,15,France
S00030,8.5,72.2,64.1,Doctorate,Male,0,345-971-3796,LC5695,Grade 11,16,Spain
S00031,7.0,111.0,44.3,Doctorate,Male,1,585-427-6463,,Grade 12,16,France
S00032,19.3,42.1,74.1,Associate,Female,0,259-880-6500,LC1439,Grade 11,16,Germany
